OBJECTID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,RPL_THEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,6,CALIFORNIA,CA,6037,Los Angeles,6037194300,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,6,CALIFORNIA,CA,6037,Los Angeles,6037137504,0.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,6,CALIFORNIA,CA,6037,Los Angeles,6037141700,0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,6,CALIFORNIA,CA,6037,Los Angeles,6037262601,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,6,CALIFORNIA,CA,6037,Los Angeles,6037261101,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,6,CALIFORNIA,CA,6037,Los Angeles,6037261200,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,6,CALIFORNIA,CA,6037,Los Angeles,6037278102,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,6,CALIFORNIA,CA,6037,Los Angeles,6037670702,0.0089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,6,CALIFORNIA,CA,6037,Los Angeles,6037261102,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,6,CALIFORNIA,CA,6037,Los Angeles,6037264000,0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,6,CALIFORNIA,CA,6037,Los Angeles,6037276601,0.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,6,CALIFORNIA,CA,6037,Los Angeles,6037262100,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,6,CALIFORNIA,CA,6037,Los Angeles,6037262400,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,6,CALIFORNIA,CA,6037,Los Angeles,6037265420,0.0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,6,CALIFORNIA,CA,6037,Los Angeles,6037262802,0.0212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6,CALIFORNIA,CA,6037,Los Angeles,6037108103,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,6,CALIFORNIA,CA,6037,Los Angeles,6037143700,0.0237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
